Date,TCODE,PNUM,MEAS,UM,UP,QtyInPackages,Cost,ExtCost,Price,ExtPrice,Profit
6/1/18,IN,12HS,1,G,BULK,187,2.28,427.55,2.61,489.75,62
6/1/18,IN,12HS,1,G,BULK,165.8,2.28,379.08,2.61,434.23,55
6/1/18,IN,12HS,1,G,BULK,200,2.28,457.28,2.61,523.8,67
6/1/18,IN,12HS,1,G,BULK,340,2.28,777.37,2.55,870.06,93
6/1/18,IN,12HS,1,G,BULK,346,2.28,791.09,2.55,885.41,94
6/1/18,IN,12HS,1,G,BULK,555,2.28,1268.95,2.56,1425.8,157
6/1/18,IN,12LS,1,G,BULK,30,2.27,68.27,2.33,70.08,2
6/1/18,IN,12HS,1,G,BULK,550.1,2.28,1257.74,2.49,1374.7,117
6/1/18,IN,12HS,1,G,BULK,235,2.28,537.3,2.49,587.27,50
6/1/18,IN,12HS,1,G,BULK,300,2.29,688.47,2.66,800.7,112
6/1/18,IN,12HS,1,G,BULK,200,2.29,458.98,2.71,543.8,85
6/1/18,IN,12HS,1,G,BULK,53.9,2.29,123.69,2.71,146.55,23
6/1/18,IN,12HS,1,G,BULK,232.8,2.29,534.25,2.67,623.67,89
6/1/18,IN,12LS,1,G,BULK,752,2.27,1709.82,2.62,1974.75,265
6/1/18,IN,12HS,1,G,BULK,500,2.29,1147.45,2.51,1259.5,112
6/1/18,IN,12HS,1,G,BULK,200,2.29,458.98,2.67,535.8,77
6/1/18,IN,12HS,1,G,BULK,300,2.29,688.47,2.71,815.7,127
6/1/18,IN,12LS,1,G,BULK,900,2.25,2031.21,2.48,2237.4,206
6/1/18,IN,12LS,1,G,BULK,336,2.25,758.31,2.5,842.02,84
6/1/18,IN,12LS,1,G,BULK,230,2.25,519.08,2.5,576.38,57
6/1/18,IN,12LS,1,G,BULK,1158.1,2.25,2613.71,2.5,2902.2,288
6/1/18,IN,12LS,1,G,BULK,429,2.25,968.21,2.48,1066.49,98
6/1/18,IN,12LS,1,G,BULK,975,2.25,2200.47,2.64,2579.85,379
6/1/18,IN,12LS,1,G,BULK,875,2.25,1974.78,2.6,2280.25,305
6/1/18,IN,12HS,1,G,BULK,406,2.32,943.13,2.59,1055.19,112
6/1/18,IN,12HS,1,G,BULK,65,2.32,150.99,2.59,168.94,18
6/1/18,IN,12HS,1,G,BULK,580,2.32,1347.34,2.51,1461.02,114
6/1/18,IN,12LS,1,G,BULK,930,2.25,2098.91,2.5,2330.58,232
6/2/18,IN,12HS,1,G,BULK,190.7,2.29,437.63,2.71,518.51,81
6/2/18,IN,12LS,1,G,BULK,404.9,2.27,920.62,2.57,1043.02,122
6/2/18,IN,12HS,1,G,BULK,709.4,2.29,1628,2.57,1829.54,202
6/2/18,IN,12HS,1,G,BULK,200,2.29,458.98,2.67,535.8,77
6/3/18,IN,12LS,1,G,BULK,906.2,2.26,2055.44,2.52,2289.06,234
6/3/18,IN,12HS,1,G,BULK,500,2.29,1146.65,2.71,1359.5,213
6/3/18,IN,12LS,1,G,BULK,460,2.26,1043.37,2.52,1161.96,119
6/3/18,IN,12HS,1,G,BULK,161.4,2.29,370.13,2.64,427.55,57
6/4/18,IN,12HS,1,G,BULK,537,2.29,1231.5,2.41,1296.86,65
6/4/18,IN,12LS,1,G,BULK,1053,2.26,2388.41,2.4,2534.57,146
6/4/18,IN,12HS,1,G,BULK,821,2.29,1882.79,2.48,2043.47,161
6/4/18,IN,12HS,1,G,BULK,32.4,2.29,74.3,2.61,84.86,11
6/4/18,IN,12HS,1,G,BULK,232.6,2.29,533.42,2.48,578.94,46
6/4/18,IN,12HS,1,G,BULK,842,2.29,1930.95,2.48,2095.74,165
6/4/18,IN,12LS,1,G,BULK,35,2.27,79.64,2.38,83.51,4
6/4/18,IN,12LS,1,G,BULK,77.7,2.26,176.23,2.64,205.59,29
6/4/18,IN,12HS,1,G,BULK,267.9,2.29,614.37,2.61,701.63,87
6/4/18,IN,12HS,1,G,BULK,140.9,2.29,323.12,2.71,383.11,60
6/4/18,IN,12LS,1,G,BULK,210.7,2.26,477.9,2.6,549.08,71
6/4/18,IN,12HS,1,G,BULK,454.3,2.29,1041.84,2.63,1198.9,157
6/4/18,IN,12LS,1,G,BULK,545.1,2.26,1236.39,2.54,1387.82,151
6/4/18,IN,12HS,1,G,BULK,296.8,2.29,680.65,2.67,795.13,114
6/4/18,IN,12LS,1,G,BULK,477.1,2.24,1070.18,2.49,1190.84,121
6/4/18,IN,12LS,1,G,BULK,950.3,2.24,2131.61,2.49,2374.8,243
6/4/18,IN,12HS,1,G,BULK,382,2.28,874.47,2.61,1000.46,126
6/4/18,IN,12LS,1,G,BULK,809.9,2.24,1816.68,2.49,2023.94,207
6/4/18,IN,12LS,1,G,BULK,520.2,2.24,1166.86,2.49,1299.98,133
6/5/18,IN,12HS,1,G,BULK,105,2.29,240.79,2.71,285.5,45
6/5/18,IN,12HS,1,G,BULK,835,2.29,1914.9,2.46,2061.62,147
6/5/18,IN,12LS,1,G,BULK,1385,2.26,3141.45,2.47,3429.26,288
6/5/18,IN,12HS,1,G,BULK,1040,2.29,2385.03,2.45,2557.36,172
6/5/18,IN,12LS,1,G,BULK,333.9,2.26,756.18,2.54,850.11,94
6/5/18,IN,12HS,1,G,BULK,302.5,2.28,691.81,2.61,792.25,100
6/5/18,IN,12HS,1,G,BULK,155.7,2.28,356.08,2.71,423.35,67
6/5/18,IN,12HS,1,G,BULK,200,2.28,457.4,2.61,523.8,66
6/5/18,IN,12LS,1,G,BULK,426.6,2.26,966.12,2.5,1069.06,103
6/5/18,IN,12HS,1,G,BULK,200,2.28,457.4,2.61,523.8,66
6/5/18,IN,12HS,1,G,BULK,542.5,2.28,1240.69,2.61,1420.81,180
6/5/18,IN,12HS,1,G,BULK,476.5,2.28,1089.75,2.61,1247.95,158
6/5/18,IN,12LS,1,G,BULK,979.9,2.23,2187.62,2.56,2514.42,327
6/5/18,IN,12LS,1,G,BULK,1357.2,2.23,3029.94,2.53,3441.86,412
6/5/18,IN,12LS,1,G,BULK,664.7,2.23,1483.94,2.52,1679.03,195
6/5/18,IN,12HS,1,G,BULK,1025.7,2.24,2302.59,2.59,2665.79,363
6/5/18,IN,12HS,1,G,BULK,112.2,2.24,251.87,2.71,305.07,53
6/6/18,IN,12HS,1,G,BULK,566.8,2.28,1296.27,2.49,1416.43,120
6/6/18,IN,12HS,1,G,BULK,530,2.28,1212.11,2.45,1303.27,91
6/6/18,IN,12HS,1,G,BULK,250,2.28,571.75,2.49,624.75,53
6/6/18,IN,12LS,1,G,BULK,887.5,2.26,2009.92,2.54,2259.58,250
6/6/18,IN,12LS,1,G,BULK,910,2.26,2060.87,2.64,2407.86,347
6/6/18,IN,12LS,1,G,BULK,31.2,2.26,70.76,2.53,79.12,8
6/6/18,IN,12LS,1,G,BULK,1753.9,2.24,3938.73,2.43,4272.5,334
6/6/18,IN,12LS,1,G,BULK,786,2.24,1765.12,2.47,1946.14,181
6/6/18,IN,12HS,1,G,BULK,121.2,2.28,276.51,2.71,329.54,53
6/6/18,IN,12HS,1,G,BULK,166,2.28,378.72,2.71,451.35,73
6/6/18,IN,12LS,1,G,BULK,433.6,2.24,973.73,2.48,1077.93,104
6/6/18,IN,12HS,1,G,BULK,68,2.28,155.14,2.71,184.89,30
6/6/18,IN,12HS,1,G,BULK,166.5,2.28,379.86,2.71,452.71,73
6/6/18,IN,12HS,1,G,BULK,311.6,2.28,710.91,2.26,707.02,-4
6/6/18,IN,12HS,1,G,BULK,200,2.28,456.3,2.71,543.8,87
6/6/18,IN,12LS,1,G,BULK,741.3,2.24,1664.73,2.61,1939.24,274
6/6/18,IN,12HS,1,G,BULK,160.2,2.28,365.49,2.71,435.58,70
6/6/18,IN,12HS,1,G,BULK,212.8,2.22,474.5,2.61,557.32,83
6/6/18,IN,12LS,1,G,BULK,567.5,2.21,1259.05,2.53,1439.18,180
6/6/18,IN,12LS,1,G,BULK,505.8,2.21,1122.16,2.53,1282.71,161
6/6/18,IN,12LS,1,G,BULK,404.1,2.21,896.53,2.53,1024.8,128
6/6/18,IN,12LS,1,G,BULK,499.7,2.21,1108.63,2.53,1267.24,159
6/6/18,IN,12LS,1,G,BULK,704.9,2.21,1563.89,2.53,1787.63,224
6/6/18,IN,12HS,1,G,BULK,380.4,2.22,848.21,2.55,973.44,125
6/6/18,IN,12HS,1,G,BULK,1107.9,2.22,2470.39,2.57,2857.27,387
6/7/18,IN,12HS,1,G,BULK,550,2.28,1254.82,2.45,1352.45,98
6/7/18,IN,12HS,1,G,BULK,716,2.28,1633.55,2.41,1732,98
6/7/18,IN,12HS,1,G,BULK,383,2.28,873.81,2.49,957.12,83
6/7/18,IN,12HS,1,G,BULK,1050,2.28,2395.57,2.41,2539.95,144
6/7/18,IN,12LS,1,G,BULK,15,2.26,33.97,2.53,38.04,4
6/7/18,IN,12HS,1,G,BULK,572,2.28,1305.01,2.43,1395.11,90
6/7/18,IN,12HS,1,G,BULK,44,2.27,100.04,2.68,118.32,18
6/7/18,IN,12LS,1,G,BULK,459.9,2.23,1027.09,2.58,1189.3,162
6/7/18,IN,12LS,1,G,BULK,140.9,2.23,314.67,2.58,364.37,50
6/7/18,IN,12HS,1,G,BULK,717.5,2.27,1631.37,2.61,1879.13,248
6/7/18,IN,12LS,1,G,BULK,260.9,2.23,582.66,2.57,672.08,89
6/7/18,IN,12HS,1,G,BULK,225,2.27,511.58,2.68,605.03,93
6/7/18,IN,12HS,1,G,BULK,259.2,2.27,589.34,2.71,704.76,115
6/7/18,IN,12LS,1,G,BULK,955.7,2.23,2134.36,2.52,2414.1,280
6/7/18,IN,12HS,1,G,BULK,502.4,2.22,1117.13,2.61,1315.79,199
6/7/18,IN,12HS,1,G,BULK,552.3,2.22,1228.09,2.61,1446.47,218
6/7/18,IN,12LS,1,G,BULK,417.4,2.19,917.15,2.52,1054.35,137
6/7/18,IN,12LS,1,G,BULK,646,2.19,1419.45,2.53,1638.26,219
6/8/18,IN,12HS,1,G,BULK,471.9,2.27,1072.95,2.43,1150.96,78
6/8/18,IN,12LS,1,G,BULK,1285,2.23,2869.79,2.44,3143.11,273
6/8/18,IN,12LS,1,G,BULK,22,2.24,49.4,2.53,55.79,6
6/8/18,IN,12HS,1,G,BULK,355.9,2.25,803.87,2.61,932.1,128
6/8/18,IN,12HS,1,G,BULK,119,2.25,268.78,2.71,323.56,55
6/8/18,IN,12LS,1,G,BULK,500,2.22,1113.8,2.6,1303,189
6/8/18,IN,12HS,1,G,BULK,233.9,2.25,528.3,2.61,612.58,84
6/8/18,IN,12HS,1,G,BULK,500,2.25,1129.35,2.61,1309.5,180
